variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
final,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,94.14,95.06,35.4,35.3,False,False
final,pcbench-Hardware_Playground_rpi_zero,0,0,31,31,0,0,32.36000000000001,35.43,22.6,22.6,False,False
final,pcbench-LPC2148_Stick_LPC2148_stick,3,3,3,3,182,182,235.33,229.04,61.2,58.7,False,False
final,pcbench-LPC2148_Stick__autosave-LPC2148_stick,3,3,3,3,182,182,225.96,210.60999999999999,59.6,60.2,False,False
final,pcbench-Mouse_Mouse,4,4,0,0,44,44,38.980000000000004,51.69,36.1,36.1,False,False
final,pcbench-NRC2016_usb_sio,0,0,0,0,166,166,27.53,31.21,27.8,28.0,False,False
final,pcbench-Pi1541io_Pi1541io,9,9,12,12,0,0,97.42,90.89999999999999,39.8,40.1,False,False
final,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,20.669999999999998,17.939999999999998,42.2,42.0,False,False
final,pcbench-RoBoC_RoboticsMKII,0,0,3,3,0,0,157.17000000000002,167.18,60.4,61.2,False,False
final,pcbench-Solare-BQ24210_Solare-BQ24210,1,0,0,0,14,14,70.51,73.75,17.3,17.4,False,False
final,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,120,53.730000000000004,41.68,24.8,24.9,False,False
final,pcbench-bobc_MS-F100,0,0,0,0,189,189,65.44000000000001,77.75,22.8,23.8,False,False
final,pcbench-domotics_base-board-arranged,0,0,3,3,0,0,50.61,51.9,46.3,46.4,False,False
final,pcbench-epapercard_epapercard,0,0,0,0,137,137,46.49,44.7,18.2,18.6,False,False
final,pcbench-esper_EsperDNS,9,9,0,0,0,0,74.31,51.08,42.9,42.9,False,False
final,pcbench-free-of-charge_BMS,0,0,0,0,142,142,160.33,153.25,63.7,64.2,False,False
final,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,0,0,0,0,0,118.51,130.63000000000002,92.3,92.4,False,False
final,pcbench-gb-hardware_GB-CARTPP-XC,9,9,0,0,0,0,123.87,84.24,40.1,40.1,False,False
final,pcbench-hbr-mk2_hbr-mk2-bpfs,7,7,0,0,0,0,97.44999999999999,92.27000000000001,52.6,52.5,False,False
final,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,35.79,36.41,40.6,40.8,False,False
final,pcbench-karabas-nano_karabas-nano-revC,81,78,1,1,200,199,299.43,299.88,63.3,64.2,True,True
final,pcbench-kinetoscope_sram-bank,112,112,0,0,0,0,299.18,299.94,83.2,80.1,True,True
final,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,117.69,124.02,32.1,32.5,False,False
final,pcbench-real-time-chess_kfchess,78,88,70,74,0,0,302.33000000000004,304.65,180.2,182.1,True,True
final,pcbench-rp2040-dmxsun_baseboard_2slots,0,0,8,8,0,0,28.41,23.099999999999998,37.5,37.7,False,False
final,pcbench-rp2040-dmxsun_baseboard_4slots,0,0,3,3,4,4,46.24,38.489999999999995,54.0,53.5,False,False
final,pcbench-srambo_1_srambo_1,1,1,0,0,136,136,169.95000000000002,129.39,41.7,40.4,False,False
final,pcbench-zx-sizif-128_sizif128,0,0,0,0,12,12,211.8,209.0,85.6,84.5,False,False
final,kicad-issue180-test--test,0,0,0,0,0,0,4.890000000000001,4.82,26.6,26.6,False,False
final,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,217.88,183.26999999999998,49.1,48.1,False,False
final,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,67.49,52.5,51.7,51.3,False,False
final,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,11.5,11.66,17.3,17.4,False,False
reservedfinal,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,179.25,102.1,102.2,False,False
reservedfinal,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,151.38000000000002,144.72,62.3,63.4,False,False
reservedfinal,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,76.80999999999999,137.26,36.7,37.0,False,False
reservedfinal,pcbench-CAL430FR_CAL430F,0,0,0,0,0,0,164.21,174.15,29.4,29.5,False,False
reservedfinal,pcbench-CATs-Eurosynth_Abakus_Main,15,15,0,0,0,0,115.75,143.88,37.5,38.2,False,False
reservedfinal,pcbench-CATs-Eurosynth_CGS_Analog_Switch_Matrix_Main,8,8,0,0,0,0,77.34,97.67999999999999,38.6,38.6,False,False
