variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
adaptive,pcbench-Feather-ICE40-PCB_feather_ice40,26,30,0,0,0,0,109.48,104.60000000000001,34.1,37.9,False,False
adaptive,pcbench-srambo_1_srambo_1,1,1,0,0,136,136,174.92,172.94000000000003,40.7,41.6,False,False
adaptive,pcbench-kitspace_sympetrum-v2%20NFF1.1,13,13,0,0,171,171,127.25,124.50999999999999,23.2,25.1,False,False
adaptive,pcbench-8bit-cpu_programming_interface,5,5,0,0,1,1,82.86,85.02000000000001,30.4,29.6,False,False
adaptive,pcbench-EnvOpenPico_EliteMicro2040,13,13,0,0,0,0,89.31,111.35,29.0,30.5,False,False
adaptive,pcbench-Mouse_Mouse,4,4,0,0,44,44,51.800000000000004,51.39,35.7,35.8,False,False
adaptive,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,18.619999999999997,17.53,41.8,41.9,False,False
adaptive,pcbench-TK44_TK44,15,15,1,1,0,0,176.48000000000002,186.79999999999998,101.3,103.4,False,False
adaptive,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,37.03,33.760000000000005,40.2,40.4,False,False
adaptive,pcbench-gb-hardware_GB-CARTPP-XC,9,9,0,0,0,0,109.35,109.84,39.7,39.4,False,False
adaptive,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,140.31,135.92999999999998,31.6,31.2,False,False
adaptive,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,106.85000000000001,107.21,36.3,37.8,False,False
adaptive,pcbench-antdroid-board_antdroid-board,18,18,0,0,0,0,74.71,70.74000000000001,41.9,47.0,False,False
adaptive,pcbench-ChirpHardware_chirp,1,1,0,0,29,29,90.61,89.67,21.4,23.2,False,False
adaptive,pcbench-Doorman_doorman_slot,6,6,0,0,0,0,10.33,8.9,18.1,18.3,False,False
adaptive,pcbench-TinyTracker_ub-minimal,3,3,0,0,199,199,65.71000000000001,62.26,27.9,28.7,False,False
adaptive,pcbench-esper_EsperDNS,9,9,0,0,0,0,69.72999999999999,75.12,42.3,42.8,False,False
adaptive,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,187.73,168.20000000000002,62.1,63.6,False,False
adaptive,pcbench-real-time-chess_kfchess,90,76,75,72,0,0,299.19,301.1,178.5,179.3,True,True
adaptive,pcbench-karabas-nano_karabas-nano-revC,96,70,1,1,199,199,293.79,297.98,56.0,63.7,True,True
adaptive,pcbench-kinetoscope_sram-bank,117,112,0,0,0,0,293.59,297.59,67.5,82.3,True,True
adaptive,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,0,0,0,0,0,168.8,151.1,91.1,92.1,False,False
adaptive,pcbench-free-of-charge_BMS,0,4,0,0,142,147,167.09,140.08,62.8,70.2,False,False
adaptive,pcbench-freeUSBi_USBi_Programmer,0,0,0,0,8,8,3.4499999999999997,2.5599999999999996,17.3,17.5,False,False
adaptive,kicad-issue180-test--test,0,0,0,0,0,0,4.81,5.01,26.3,26.2,False,False
adaptive,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,73.41,72.57,51.2,54.3,False,False
adaptive,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,215.23,168.27,48.8,47.4,False,False
adaptive,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,9.93,11.19,17.4,17.5,False,False
adaptive,pcbench-Hardware_Playground_nrf52832_uno,0,0,0,0,37,37,32.57,33.88,17.4,17.5,False,False
adaptive,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,120,51.62,50.69,24.9,25.9,False,False
adaptive,pcbench-clock_lcdb4,0,0,0,0,0,0,17.11,18.45,17.5,17.4,False,False
adaptive,pcbench-kitspace_piezo_amplifier,0,0,0,0,0,0,24.86,22.03,22.8,22.8,False,False
