variant,board,unrouted_main,unrouted_candidate,copper_main,copper_candidate,mask_main,mask_candidate,cpu_main,cpu_candidate,rss_main,rss_candidate,deadline_main,deadline_candidate
control,pcbench-EncoderBoard_Enc_Pan_Led,0,0,0,0,39,39,109.18,141.65,32.1,32.1,False,False
control,pcbench-FRM16_Relay_Module_I2C_Controller_relay_controller,0,0,0,0,0,0,24.99,24.35,17.4,17.4,False,False
control,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,94.14,94.61,35.4,35.0,False,False
control,pcbench-Hardware_Playground_rpi_zero,0,0,31,31,0,0,32.36000000000001,44.51,22.6,22.6,False,False
control,pcbench-LPC2148_Stick_LPC2148_stick,3,3,3,3,182,182,235.33,233.36,61.2,58.7,False,False
control,pcbench-LPC2148_Stick__autosave-LPC2148_stick,3,3,3,3,182,182,225.96,219.34,59.6,60.3,False,False
control,pcbench-Mouse_Mouse,4,4,0,0,44,44,38.980000000000004,53.77,36.1,36.0,False,False
control,pcbench-NRC2016_usb_sio,0,0,0,0,166,166,27.53,20.21,27.8,28.1,False,False
control,pcbench-Pi1541io_Pi1541io,9,9,12,12,0,0,97.42,91.61,39.8,39.8,False,False
control,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,8,0,0,0,0,20.669999999999998,20.7,42.2,41.5,False,False
control,pcbench-RoBoC_RoboticsMKII,0,0,3,3,0,0,157.17000000000002,174.15,60.4,61.0,False,False
control,pcbench-Solare-BQ24210_Solare-BQ24210,1,1,0,0,14,14,70.51,49.449999999999996,17.3,17.4,False,False
control,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,120,53.730000000000004,45.65,24.8,24.9,False,False
control,pcbench-bobc_MS-F100,0,0,0,0,189,189,65.44000000000001,79.39999999999999,22.8,23.2,False,False
control,pcbench-domotics_base-board-arranged,0,0,3,3,0,0,50.61,40.08,46.3,46.2,False,False
control,pcbench-epapercard_epapercard,0,0,0,0,137,137,46.49,52.35,18.2,18.2,False,False
control,pcbench-esper_EsperDNS,9,9,0,0,0,0,74.31,50.550000000000004,42.9,42.9,False,False
control,pcbench-free-of-charge_BMS,0,0,0,0,142,142,160.33,158.31,63.7,64.3,False,False
control,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,0,0,0,0,0,118.51,134.72,92.3,92.4,False,False
control,pcbench-gb-hardware_GB-CARTPP-XC,9,9,0,0,0,0,123.87,108.11,40.1,39.9,False,False
control,pcbench-hbr-mk2_hbr-mk2-bpfs,7,7,0,0,0,0,97.44999999999999,122.31,52.6,52.6,False,False
control,pcbench-hbr-mk2_hbr-mk2-digital,14,14,0,0,0,0,35.79,32.660000000000004,40.6,40.6,False,False
control,pcbench-karabas-nano_karabas-nano-revC,81,68,1,1,200,199,299.43,299.59999999999997,63.3,69.9,True,True
control,pcbench-kinetoscope_sram-bank,112,112,0,0,0,0,299.18,299.84999999999997,83.2,79.8,True,True
control,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,24,5,5,2,2,117.69,108.44,32.1,31.8,False,False
control,pcbench-real-time-chess_kfchess,78,76,70,72,0,0,302.33000000000004,304.47,180.2,179.9,True,True
control,pcbench-rp2040-dmxsun_baseboard_2slots,0,0,8,8,0,0,28.41,26.95,37.5,37.6,False,False
control,pcbench-rp2040-dmxsun_baseboard_4slots,0,0,3,3,4,4,46.24,47.63,54.0,53.7,False,False
control,pcbench-srambo_1_srambo_1,1,1,0,0,136,136,169.95000000000002,166.58,41.7,40.3,False,False
control,pcbench-zx-sizif-128_sizif128,0,0,0,0,12,12,211.8,224.84,85.6,85.6,False,False
control,kicad-issue180-test--test,0,0,0,0,0,0,4.890000000000001,4.92,26.6,26.5,False,False
control,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,217.88,152.33,49.1,47.5,False,False
control,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,67.49,60.410000000000004,51.7,52.1,False,False
control,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,11.5,11.559999999999999,17.3,17.4,False,False
reserved,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,162.71,102.1,101.9,False,False
reserved,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,151.38000000000002,217.16,62.3,68.1,False,False
reserved,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,76.80999999999999,101.32,36.7,36.7,False,False
reserved,pcbench-CAL430FR_CAL430F,0,1,0,0,0,0,164.21,210.69,29.4,29.2,False,False
reserved,pcbench-CATs-Eurosynth_Abakus_Main,15,15,0,0,0,0,115.75,123.87,37.5,38.4,False,False
reserved,pcbench-CATs-Eurosynth_CGS_Analog_Switch_Matrix_Main,8,12,0,0,0,0,77.34,87.5,38.6,35.4,False,False
reserved,pcbench-CATs-Eurosynth_MFOS_Eight_Stage_Phase_Shifter_-_Main,20,19,0,0,0,0,78.34,97.72,37.0,37.2,False,False
reserved,pcbench-DC25_DC25,0,0,11,7,29,29,30.59,28.38,19.9,21.2,False,False
reserved,pcbench-EncoderBoard_Enc_Pan_Led,0,1,0,0,39,39,109.18,117.95,32.1,29.5,False,False
reserved,pcbench-FRM16_Relay_Module_I2C_Controller_relay_controller,0,0,0,0,0,35,24.99,28.53,17.4,17.4,False,False
reserved,pcbench-Feather-ICE40-PCB_feather_ice40,26,26,0,0,0,0,94.14,84.89,35.4,35.6,False,False
reserved,pcbench-Hardware_Playground_rpi_zero,0,0,31,22,0,0,32.36000000000001,52.220000000000006,22.6,19.5,False,False
reserved,pcbench-LPC2148_Stick_LPC2148_stick,3,1,3,5,182,199,235.33,272.15000000000003,61.2,61.5,False,False
reserved,pcbench-LPC2148_Stick__autosave-LPC2148_stick,3,1,3,5,182,199,225.96,221.75,59.6,62.6,False,False
reserved,pcbench-Mouse_Mouse,4,1,0,0,44,44,38.980000000000004,34.32,36.1,35.9,False,False
reserved,pcbench-NRC2016_usb_sio,0,0,0,0,166,128,27.53,12.57,27.8,21.5,False,False
reserved,pcbench-Pi1541io_Pi1541io,9,10,12,9,0,0,97.42,49.38,39.8,41.4,False,False
reserved,pcbench-RC6502-Apple-1-Replica_RC6502_Terminal,8,9,0,0,0,0,20.669999999999998,8.46,42.2,35.3,False,False
reserved,pcbench-RoBoC_RoboticsMKII,0,0,3,4,0,0,157.17000000000002,149.51000000000002,60.4,70.2,False,False
reserved,pcbench-Solare-BQ24210_Solare-BQ24210,1,0,0,0,14,14,70.51,1.66,17.3,17.3,False,False
reserved,pcbench-TLPHnodeV2_TLPHnodeV2,0,0,0,0,120,122,53.730000000000004,28.64,24.8,19.7,False,False
reserved,pcbench-bobc_MS-F100,0,0,0,0,189,169,65.44000000000001,110.31,22.8,27.6,False,False
reserved,pcbench-domotics_base-board-arranged,0,0,3,6,0,0,50.61,34.589999999999996,46.3,48.9,False,False
reserved,pcbench-epapercard_epapercard,0,0,0,0,137,114,46.49,49.33,18.2,20.2,False,False
reserved,pcbench-esper_EsperDNS,9,7,0,0,0,0,74.31,82.41,42.9,41.0,False,False
reserved,pcbench-free-of-charge_BMS,0,1,0,0,142,143,160.33,127.45,63.7,65.6,False,False
reserved,pcbench-freeDSP-CLASSIC-SMD-BALANCED_FreeDSP_BAL,0,2,0,0,0,0,118.51,88.22,92.3,97.3,False,False
reserved,pcbench-gb-hardware_GB-CARTPP-XC,9,7,0,0,0,0,123.87,130.58,40.1,39.3,False,False
reserved,pcbench-hbr-mk2_hbr-mk2-bpfs,7,10,0,0,0,0,97.44999999999999,91.42999999999999,52.6,42.8,False,False
reserved,pcbench-hbr-mk2_hbr-mk2-digital,14,17,0,0,0,0,35.79,44.77,40.6,36.2,False,False
reserved,pcbench-karabas-nano_karabas-nano-revC,81,98,1,1,200,199,299.43,299.95000000000005,63.3,62.4,True,True
reserved,pcbench-kinetoscope_sram-bank,112,104,0,1,0,0,299.18,299.17,83.2,81.6,True,True
reserved,pcbench-project-hydra-meshtastic-pcb_meshtastic-diy,24,25,5,5,2,1,117.69,118.97,32.1,30.3,False,False
reserved,pcbench-real-time-chess_kfchess,78,71,70,85,0,0,302.33000000000004,302.04,180.2,184.5,True,True
reserved,pcbench-rp2040-dmxsun_baseboard_2slots,0,1,8,7,0,0,28.41,14.12,37.5,40.5,False,False
reserved,pcbench-rp2040-dmxsun_baseboard_4slots,0,0,3,6,4,4,46.24,47.77,54.0,49.8,False,False
reserved,pcbench-srambo_1_srambo_1,1,0,0,0,136,153,169.95000000000002,114.99,41.7,39.3,False,False
reserved,pcbench-zx-sizif-128_sizif128,0,0,0,0,12,12,211.8,228.12,85.6,85.6,False,False
reserved,kicad-issue180-test--test,0,0,0,0,0,0,4.890000000000001,4.819999999999999,26.6,26.5,False,False
reserved,kicad-issue283-unconnectedtracesunderpads--natural_tone_preamp,0,0,0,0,0,0,217.88,203.62,49.1,47.3,False,False
reserved,kicad-issue367-ultraflactyl--ultraflactyl,1,1,0,0,0,0,67.49,78.77,51.7,44.9,False,False
reserved,kicad-issue558-dev-board-autoroute-demo--dev-board,0,0,4,4,0,0,11.5,11.5,17.3,17.4,False,False
late,pcbench-TK44_TK44,15,15,1,1,0,0,142.20999999999998,148.52,102.1,103.3,False,False
late,pcbench-kitspace_USB-C-Screen-Adapter,3,3,2,2,83,83,151.38000000000002,182.64000000000001,62.3,63.5,False,False
late,pcbench-AIOsense_AIOsense,18,18,0,0,0,0,76.80999999999999,103.84,36.7,37.0,False,False
late,pcbench-CAL430FR_CAL430F,0,0,0,0,0,0,164.21,202.06,29.4,29.4,False,False
late,pcbench-CATs-Eurosynth_Abakus_Main,15,15,0,0,0,0,115.75,134.18,37.5,38.7,False,False
late,pcbench-CATs-Eurosynth_CGS_Analog_Switch_Matrix_Main,8,8,0,0,0,0,77.34,81.75999999999999,38.6,38.6,False,False
